,SummonerID,Summoner_Name,Wins,Losses,League_Points,Account_ID
0,-0lV2KSOrYgZfH44TC1hyRlpZuge1BjZL4j7OFoRa001yHA,markboots,194,173,0,sVvAPfkUhY_elKH3VfT0cQ1zL9clktoDeKOA2CSu8-oP48U
1,-4QdjnBya3dqrBtrVYShRbQ-L8z2SvuyImUKQDQGp1m4lS0,Titan Dweevil,332,318,160,yV5FUewOtSBuvyAsbyV6V_-LgB2VXGpgeVHKkSxQpKrEsw
2,-8FIUW94-YVyLr8wDjUvsOQ34rZsVlDH0jtP-1OjKhk9HJY,Fear Of Vi,269,248,10,Ci237tEo6zBMqyNQdFZR5LxakjscZl0wkMddqo4u7Qtq8gc
3,-9ch8HOPdNEKXivL3RdqGaXZCrskCq0wIdp1963L6Z7inhs,StopHittingBaron,75,64,16,5TpNebETkfxGA3bbXVD-03R8kEIFOfihBNs0UcuUqsZ1fQ
4,-JRSF0ruGgzSuC4iLYbrjorqRFDo2iNwJls230IojUqeIuA,Jozyy,272,257,60,0OHOlEZDghzbtl6n95GyCZvOAHBlQSn5boTZdCuZwBEFrw
5,-MdHS3sOlb9GZsaTgZno8J7-di98r9aFHuS7LIwj9dfkNuI,ˇ aaron,404,390,87,b7t2-fZzozmhZhn_zo4rNznfWxwulP4nWLLaRTECq_-bhus
6,-N52b_MfnapgaHpY0BcdZpiqj9XiD1OX8xcAqIhLR53pLT8,Eyyywick,128,107,18,KXRABEmAGRfiITixChVX0TXaPLiELbY7ZkdydSdiY9zD9g
7,-RCSusKUM08DO4Xf1a71PQS2hapjSDixZonjsFMqAlHs4IQ,OddTurtle,66,57,92,7ERYP9spFkble1qpmxLF3zQ-bHFkJ4DV9Yd9iEES1GOIeA
8,-eFrIY6sSOb-QYuG0K8_VRkDTxvqrhwIvvpY5EWmDYUfYCQ,ChaosRain,187,175,7,TaY9EcDama3dI0rgL1MUM6LSFIlpA6xKCwSEDFhtwBN1wLc
9,-hv3jz4fQ0j-DrcV67cy_UfFuIOfjwWIHan4cJG0t8Hp4t0,Bâck To Paradise,78,48,63,GQldN83ympM85gYepAGqcL6pL9vgDkeuw0ovp0uiQfKXjA
10,-lCBY1RCLbe4UfCZEs7IjPgdAiHkOwE3hKaZpHDtTi_oQAg,ryanrg,162,148,26,GF06hrGuyQQ0bhOjlykk5R2uF5KQJ3gMjVisbdCN_2vZUus
11,07v_Blk3CIJJeDCQGChpu2tRSd-QG1zTmI9nr6NAfIhwBKs,LowKeyBoost Ćom,142,92,39,oWAzkMGydNdN7Uv0zAj9-AAXYc40OlVPkL1ABQ8GRgjtriA
12,08i0p5LTa-A8T_RHbrAzXXiMtiUpiVhz-CuN668Va6NqdP0,PurpleRoo,233,212,64,pEqeKM0NqvJFOQ8oMae9hIXs4o5oo_2hwYtystQsjPHRGQ
13,0CPZqRzAZOv-hRGmBWhpxRs2NP9o0NFhz8pgg6BpFtvl1B0,Fear My Jayce,80,52,15,mALhVGtPsw0c3uiiUPRc1Uyt9fnVVZQ9lexNQMfMXNsIOA
14,0DEHdHpFQnYO4EeSjIjjXettRT7GSItSztB-pm9CWocAhUY,dawolfsclaw,53,40,18,QotVE4FxoP4P0UZYJGNRzj4vCmudf7KjdZ_VB6cbWobw6Q
15,0L1f98s1A1WPGMhOSHv_wjfIgNM9Wen8nzdFr9zzsNGNzTo,Anivia Kid,132,124,128,pYr3fAP-UoBl8X4WXyOA_aH7XiVvuijzH9mZ0tSuTo0iD-A
16,0UXnes-ass_lkCPIYeNtjJolPREtxLCXT6PBrW8caNtVll4,Regular Mid,130,99,131,8oTeLshgZK9JdK72C5ufq9Rz5kmbfJJFg5NGYwlwZmEbjRE
17,0UcfOPoMSf8sRW0Xnzf3d5ZpT4XzFKQLQJB9aILRCl0VgDk,ArgentumSky,94,76,130,Hl62p65-lsCDJu7nai9JrKtYNi2m_EMFVqWtSkxN_4sfNdI
18,0X4T_pHaXgC3ZTrO2TAgpTE_W5NtCCmvh37oQx_4iTD1u48,Kill Our ADC ,138,93,36,FlZteG3usao73P9g-QoHIPoOwiALSQ7ewKOdqRtE_VBHK7A
19,0eGj2rk9xjFMqDDcSscRkL_hqlBuYX9N2deHjhjdHhfEjrQ,ekkoro,62,38,68,FHbV19eIQzspwKBd16dT2WTyFON9BvedemmjmDCticwSGus
20,0i2ed7mlSMrlMf4T03kNAsL6sZNkbR5jYpDwFwXy569WV6c,Third Bolt,179,164,15,Yw_WhDIWuB3i9XRVhhORmRS9scGQ4Qk7VneBXk5ltnnVzu4
