,Lane,GameID,Champion
0,MID,3015928183,142
1,MID,3015886743,142
2,BOTTOM,3015862733,145
3,MID,3015846686,38
4,TOP,3015357212,38
5,BOTTOM,3015782133,63
6,MID,3015739551,45
7,MID,3015750507,82
8,NONE,3015716046,82
9,MID,3015646628,45
10,JUNGLE,3015828030,24
11,JUNGLE,3015843631,77
12,JUNGLE,3015819536,254
13,JUNGLE,3015807153,254
14,JUNGLE,3015794547,254
15,MID,3011346967,40
16,BOTTOM,3011321100,267
17,JUNGLE,3011312376,64
18,JUNGLE,3011284221,203
19,BOTTOM,3010687932,9
20,JUNGLE,3013981166,163
21,NONE,3013975086,432
22,NONE,3013939134,85
23,NONE,3012054303,268
24,JUNGLE,3012046301,555
25,NONE,3015982639,20
26,NONE,3015946561,10
27,BOTTOM,3015545652,145
28,BOTTOM,3015517285,119
29,BOTTOM,3015462993,119
30,BOTTOM,3015686548,37
31,MID,3015669152,131
32,BOTTOM,3015602459,37
33,NONE,3015396697,245
34,BOTTOM,3014897852,37
35,BOTTOM,3015364735,8
36,NONE,3015340586,114
37,TOP,3015315619,6
38,NONE,3015310705,145
39,NONE,3015306270,10
40,JUNGLE,3015767932,427
41,BOTTOM,3015625552,119
42,MID,3015583391,10
43,MID,3015563974,105
44,TOP,3015541096,420
45,MID,3015733590,7
46,MID,3015729263,7
47,NONE,3015716631,81
48,NONE,3015696208,127
49,NONE,3015671324,127
50,BOTTOM,3013404638,117
51,NONE,3013377249,25
52,BOTTOM,3013326058,412
53,BOTTOM,3013339980,412
54,BOTTOM,3013304060,81
55,MID,3015638450,4
56,BOTTOM,3014240679,15
57,NONE,3014218484,8
58,NONE,3014053013,119
59,NONE,3013523689,157
60,JUNGLE,3015363425,36
61,JUNGLE,3015334374,35
62,NONE,3014080446,201
63,BOTTOM,3014041870,412
64,BOTTOM,3014021173,25
65,MID,3012689576,126
66,MID,3012594118,126
67,MID,3012583046,126
68,MID,3012540873,126
69,TOP,3012522032,126
